Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University Of Prince Edward Island
Institution_ID	aaas:20351555
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	End_Date=2024-01-31; Begin_Date=2024-01-01
Created	2024-02-23T05:29:10Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024
Persistent complement dysregulation with signs of thromboinflammation in active Long Covid	American Association for the Advancement of Science		aaas	10.1126/science.adg7942						Unique_Item_Requests	1	1
Persistent complement dysregulation with signs of thromboinflammation in active Long Covid	American Association for the Advancement of Science		aaas	10.1126/science.adg7942						Total_Item_Investigations	1	1
Persistent complement dysregulation with signs of thromboinflammation in active Long Covid	American Association for the Advancement of Science		aaas	10.1126/science.adg7942						Total_Item_Requests	1	1
Primers for Mitochondrial DNA Replication Generated by Endonuclease G	American Association for the Advancement of Science		aaas	10.1126/science.7688144						Unique_Item_Investigations	1	1
Primers for Mitochondrial DNA Replication Generated by Endonuclease G	American Association for the Advancement of Science		aaas	10.1126/science.7688144						Total_Item_Investigations	1	1
Principles that Govern the Folding of Protein Chains	American Association for the Advancement of Science		aaas	10.1126/science.181.4096.223						Unique_Item_Investigations	1	1
Principles that Govern the Folding of Protein Chains	American Association for the Advancement of Science		aaas	10.1126/science.181.4096.223						Total_Item_Investigations	1	1
Protected land: Threat of invasive species	American Association for the Advancement of Science		aaas	10.1126/science.aau3784						Unique_Item_Investigations	1	1
Protected land: Threat of invasive species	American Association for the Advancement of Science		aaas	10.1126/science.aau3784						Unique_Item_Requests	1	1
Protected land: Threat of invasive species	American Association for the Advancement of Science		aaas	10.1126/science.aau3784						Total_Item_Investigations	1	1
Protected land: Threat of invasive species	American Association for the Advancement of Science		aaas	10.1126/science.aau3784						Total_Item_Requests	1	1
Recovery of particulate methane monooxygenase structure and activity in a lipid bilayer	American Association for the Advancement of Science		aaas	10.1126/science.abm3282						Unique_Item_Investigations	3	3
Recovery of particulate methane monooxygenase structure and activity in a lipid bilayer	American Association for the Advancement of Science		aaas	10.1126/science.abm3282						Unique_Item_Requests	3	3
Recovery of particulate methane monooxygenase structure and activity in a lipid bilayer	American Association for the Advancement of Science		aaas	10.1126/science.abm3282						Total_Item_Investigations	3	3
Recovery of particulate methane monooxygenase structure and activity in a lipid bilayer	American Association for the Advancement of Science		aaas	10.1126/science.abm3282						Total_Item_Requests	3	3
Regularly Occurring Periods of Eye Motility, and Concomitant Phenomena, During Sleep	American Association for the Advancement of Science		aaas	10.1126/science.118.3062.273						Unique_Item_Investigations	1	1
Regularly Occurring Periods of Eye Motility, and Concomitant Phenomena, During Sleep	American Association for the Advancement of Science		aaas	10.1126/science.118.3062.273						Total_Item_Investigations	1	1
Restoring Systemic GDF11 Levels Reverses Age-Related Dysfunction in Mouse Skeletal Muscle	American Association for the Advancement of Science		aaas	10.1126/science.1251152						Unique_Item_Investigations	1	1
Restoring Systemic GDF11 Levels Reverses Age-Related Dysfunction in Mouse Skeletal Muscle	American Association for the Advancement of Science		aaas	10.1126/science.1251152						Unique_Item_Requests	1	1
Restoring Systemic GDF11 Levels Reverses Age-Related Dysfunction in Mouse Skeletal Muscle	American Association for the Advancement of Science		aaas	10.1126/science.1251152						Total_Item_Investigations	2	2
Restoring Systemic GDF11 Levels Reverses Age-Related Dysfunction in Mouse Skeletal Muscle	American Association for the Advancement of Science		aaas	10.1126/science.1251152						Total_Item_Requests	2	2
Resurrecting the ancient glow of the fireflies	American Association for the Advancement of Science		aaas	10.1126/sciadv.abc5705						Unique_Item_Investigations	1	1
Resurrecting the ancient glow of the fireflies	American Association for the Advancement of Science		aaas	10.1126/sciadv.abc5705						Unique_Item_Requests	1	1
Resurrecting the ancient glow of the fireflies	American Association for the Advancement of Science		aaas	10.1126/sciadv.abc5705						Total_Item_Investigations	2	2
Resurrecting the ancient glow of the fireflies	American Association for the Advancement of Science		aaas	10.1126/sciadv.abc5705						Total_Item_Requests	2	2
Reversal of Left-Right Asymmetry: a Situs Inversus Mutation	American Association for the Advancement of Science		aaas	10.1126/science.8480178						Unique_Item_Investigations	1	1
Reversal of Left-Right Asymmetry: a Situs Inversus Mutation	American Association for the Advancement of Science		aaas	10.1126/science.8480178						Total_Item_Investigations	1	1
Seawater could provide nearly unlimited amounts of critical battery material	American Association for the Advancement of Science		aaas	10.1126/science.abd8037						Unique_Item_Investigations	1	1
Seawater could provide nearly unlimited amounts of critical battery material	American Association for the Advancement of Science		aaas	10.1126/science.abd8037						Unique_Item_Requests	1	1
Seawater could provide nearly unlimited amounts of critical battery material	American Association for the Advancement of Science		aaas	10.1126/science.abd8037						Total_Item_Investigations	1	1
Seawater could provide nearly unlimited amounts of critical battery material	American Association for the Advancement of Science		aaas	10.1126/science.abd8037						Total_Item_Requests	1	1
Single-cell bioluminescence imaging of deep tissue in freely moving animals	American Association for the Advancement of Science		aaas	10.1126/science.aaq1067						Unique_Item_Investigations	2	2
Single-cell bioluminescence imaging of deep tissue in freely moving animals	American Association for the Advancement of Science		aaas	10.1126/science.aaq1067						Unique_Item_Requests	2	2
Single-cell bioluminescence imaging of deep tissue in freely moving animals	American Association for the Advancement of Science		aaas	10.1126/science.aaq1067						Total_Item_Investigations	3	3
Single-cell bioluminescence imaging of deep tissue in freely moving animals	American Association for the Advancement of Science		aaas	10.1126/science.aaq1067						Total_Item_Requests	2	2
Social Influence Bias: A Randomized Experiment	American Association for the Advancement of Science		aaas	10.1126/science.1240466						Unique_Item_Investigations	1	1
Social Influence Bias: A Randomized Experiment	American Association for the Advancement of Science		aaas	10.1126/science.1240466						Unique_Item_Requests	1	1
Social Influence Bias: A Randomized Experiment	American Association for the Advancement of Science		aaas	10.1126/science.1240466						Total_Item_Investigations	1	1
Social Influence Bias: A Randomized Experiment	American Association for the Advancement of Science		aaas	10.1126/science.1240466						Total_Item_Requests	1	1
Studies that expose bats to SARS-CoV-2 could help gauge future pandemic risks	American Association for the Advancement of Science		aaas	10.1126/science.z3ei19y						Unique_Item_Investigations	1	1
Studies that expose bats to SARS-CoV-2 could help gauge future pandemic risks	American Association for the Advancement of Science		aaas	10.1126/science.z3ei19y						Unique_Item_Requests	1	1
Studies that expose bats to SARS-CoV-2 could help gauge future pandemic risks	American Association for the Advancement of Science		aaas	10.1126/science.z3ei19y						Total_Item_Investigations	1	1
Studies that expose bats to SARS-CoV-2 could help gauge future pandemic risks	American Association for the Advancement of Science		aaas	10.1126/science.z3ei19y						Total_Item_Requests	1	1
Temporal circuit of macroscale dynamic brain activity supports human consciousness	American Association for the Advancement of Science		aaas	10.1126/sciadv.aaz0087						Unique_Item_Investigations	1	1
Temporal circuit of macroscale dynamic brain activity supports human consciousness	American Association for the Advancement of Science		aaas	10.1126/sciadv.aaz0087						Unique_Item_Requests	1	1
Temporal circuit of macroscale dynamic brain activity supports human consciousness	American Association for the Advancement of Science		aaas	10.1126/sciadv.aaz0087						Total_Item_Investigations	1	1
Temporal circuit of macroscale dynamic brain activity supports human consciousness	American Association for the Advancement of Science		aaas	10.1126/sciadv.aaz0087						Total_Item_Requests	1	1
The chemical ecology of locust cannibalism	American Association for the Advancement of Science		aaas	10.1126/science.adh5264						Unique_Item_Investigations	1	1
The chemical ecology of locust cannibalism	American Association for the Advancement of Science		aaas	10.1126/science.adh5264						Unique_Item_Requests	1	1
The chemical ecology of locust cannibalism	American Association for the Advancement of Science		aaas	10.1126/science.adh5264						Total_Item_Investigations	1	1
The chemical ecology of locust cannibalism	American Association for the Advancement of Science		aaas	10.1126/science.adh5264						Total_Item_Requests	1	1
The controversial correlates of consciousness	American Association for the Advancement of Science		aaas	10.1126/science.aat5616						Unique_Item_Investigations	1	1
The controversial correlates of consciousness	American Association for the Advancement of Science		aaas	10.1126/science.aat5616						Unique_Item_Requests	1	1
The controversial correlates of consciousness	American Association for the Advancement of Science		aaas	10.1126/science.aat5616						Total_Item_Investigations	1	1
The controversial correlates of consciousness	American Association for the Advancement of Science		aaas	10.1126/science.aat5616						Total_Item_Requests	1	1
The genetic mechanism of selfishness and altruism in parent-offspring coadaptation	American Association for the Advancement of Science		aaas	10.1126/sciadv.aaw0070						Unique_Item_Investigations	1	1
The genetic mechanism of selfishness and altruism in parent-offspring coadaptation	American Association for the Advancement of Science		aaas	10.1126/sciadv.aaw0070						Unique_Item_Requests	1	1
The genetic mechanism of selfishness and altruism in parent-offspring coadaptation	American Association for the Advancement of Science		aaas	10.1126/sciadv.aaw0070						Total_Item_Investigations	1	1
The genetic mechanism of selfishness and altruism in parent-offspring coadaptation	American Association for the Advancement of Science		aaas	10.1126/sciadv.aaw0070						Total_Item_Requests	1	1
The History of Anthropology	American Association for the Advancement of Science		aaas	10.1126/science.20.512.513						Unique_Item_Investigations	1	1
The History of Anthropology	American Association for the Advancement of Science		aaas	10.1126/science.20.512.513						Total_Item_Investigations	1	1
The North Aral Sea—once near death—is coming back to life	American Association for the Advancement of Science		aaas	10.5555/article.2389693						Unique_Item_Investigations	1	1
The North Aral Sea—once near death—is coming back to life	American Association for the Advancement of Science		aaas	10.5555/article.2389693						Unique_Item_Requests	1	1
The North Aral Sea—once near death—is coming back to life	American Association for the Advancement of Science		aaas	10.5555/article.2389693						Total_Item_Investigations	1	1
The North Aral Sea—once near death—is coming back to life	American Association for the Advancement of Science		aaas	10.5555/article.2389693						Total_Item_Requests	1	1
The threshold for conscious report: Signal loss and response bias in visual and frontal cortex	American Association for the Advancement of Science		aaas	10.1126/science.aar7186						Unique_Item_Investigations	1	1
The threshold for conscious report: Signal loss and response bias in visual and frontal cortex	American Association for the Advancement of Science		aaas	10.1126/science.aar7186						Unique_Item_Requests	1	1
The threshold for conscious report: Signal loss and response bias in visual and frontal cortex	American Association for the Advancement of Science		aaas	10.1126/science.aar7186						Total_Item_Investigations	1	1
The threshold for conscious report: Signal loss and response bias in visual and frontal cortex	American Association for the Advancement of Science		aaas	10.1126/science.aar7186						Total_Item_Requests	1	1
The Value of Nature and the Nature of Value	American Association for the Advancement of Science		aaas	10.1126/science.289.5478.395						Unique_Item_Investigations	1	1
The Value of Nature and the Nature of Value	American Association for the Advancement of Science		aaas	10.1126/science.289.5478.395						Unique_Item_Requests	1	1
The Value of Nature and the Nature of Value	American Association for the Advancement of Science		aaas	10.1126/science.289.5478.395						Total_Item_Investigations	1	1
The Value of Nature and the Nature of Value	American Association for the Advancement of Science		aaas	10.1126/science.289.5478.395						Total_Item_Requests	1	1
Vascular and Neurogenic Rejuvenation of the Aging Mouse Brain by Young Systemic Factors	American Association for the Advancement of Science		aaas	10.1126/science.1251141						Unique_Item_Investigations	2	2
Vascular and Neurogenic Rejuvenation of the Aging Mouse Brain by Young Systemic Factors	American Association for the Advancement of Science		aaas	10.1126/science.1251141						Unique_Item_Requests	2	2
Vascular and Neurogenic Rejuvenation of the Aging Mouse Brain by Young Systemic Factors	American Association for the Advancement of Science		aaas	10.1126/science.1251141						Total_Item_Investigations	3	3
Vascular and Neurogenic Rejuvenation of the Aging Mouse Brain by Young Systemic Factors	American Association for the Advancement of Science		aaas	10.1126/science.1251141						Total_Item_Requests	3	3
Wisconsin bill to restrict pathogen studies worries scientists	American Association for the Advancement of Science		aaas	10.1126/science.zsj0v30						Unique_Item_Investigations	1	1
Wisconsin bill to restrict pathogen studies worries scientists	American Association for the Advancement of Science		aaas	10.1126/science.zsj0v30						Unique_Item_Requests	1	1
Wisconsin bill to restrict pathogen studies worries scientists	American Association for the Advancement of Science		aaas	10.1126/science.zsj0v30						Total_Item_Investigations	1	1
Wisconsin bill to restrict pathogen studies worries scientists	American Association for the Advancement of Science		aaas	10.1126/science.zsj0v30						Total_Item_Requests	1	1
Without inclusion, diversity initiatives may not be enough	American Association for the Advancement of Science		aaas	10.1126/science.aai9054						Unique_Item_Investigations	1	1
Without inclusion, diversity initiatives may not be enough	American Association for the Advancement of Science		aaas	10.1126/science.aai9054						Unique_Item_Requests	1	1
Without inclusion, diversity initiatives may not be enough	American Association for the Advancement of Science		aaas	10.1126/science.aai9054						Total_Item_Investigations	1	1
Without inclusion, diversity initiatives may not be enough	American Association for the Advancement of Science		aaas	10.1126/science.aai9054						Total_Item_Requests	1	1
